cena,powierzchnia,wiek,czynsz,pokoje,piętro,wysokość budynku,odległość od centrum,miasto,zabudowa,wykończenie,okna,ogrzewanie
780000,40.0,24.0,1250.0,2.0,3,7.0,4.18,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
930000,42.25,3.0,270.0,2.0,7,8.0,6.79,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1218000,58.18,1.0,,3.0,3,5.0,6.99,Warszawa,blok,do zamieszkania,plastikowe,miejskie
799000,63.0,46.0,950.0,3.0,4,9.0,5.83,Warszawa,blok,do remontu,plastikowe,miejskie
1490000,72.79,11.0,1020.0,3.0,6,7.0,4.94,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1490000,78.51,14.0,1060.0,3.0,4,7.0,6.64,Warszawa,blok,do zamieszkania,drewniane,miejskie
890000,44.26,67.0,700.0,1.0,1,6.0,1.5,Warszawa,kamienica,do remontu,,miejskie
610000,38.0,54.0,697.0,2.0,3,4.0,5.13,Warszawa,blok,do zamieszkania,plastikowe,miejskie
358000,19.9,61.0,288.0,1.0,7,12.0,5.19,Warszawa,blok,do zamieszkania,plastikowe,
900000,38.0,121.0,,2.0,3,7.0,0.57,Warszawa,kamienica,do remontu,plastikowe,miejskie
590000,50.0,64.0,900.0,2.0,3,3.0,6.61,Warszawa,blok,do remontu,plastikowe,miejskie
1229000,50.46,10.0,1200.0,2.0,2,4.0,8.39,Warszawa,blok,do zamieszkania,plastikowe,miejskie
980000,57.35,18.0,860.0,2.0,parter,4.0,9.18,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
430000,30.5,25.0,420.0,1.0,parter,3.0,11.22,Warszawa,apartamentowiec,do zamieszkania,,miejskie
559000,43.1,17.0,680.0,2.0,3,8.0,15.57,Piaseczno,apartamentowiec,do zamieszkania,plastikowe,gazowe
800000,43.18,10.0,700.0,2.0,parter,5.0,7.47,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
799000,64.5,36.0,1154.0,3.0,3,9.0,5.68,Warszawa,blok,do remontu,,miejskie
399900,36.4,27.0,500.0,2.0,suterena,10.0,6.47,Warszawa,blok,do zamieszkania,,miejskie
540000,57.0,20.0,950.0,3.0,2,3.0,23.93,Radzymin,blok,do zamieszkania,plastikowe,
1700000,81.97,7.0,1266.0,4.0,2,6.0,6.45,Warszawa,blok,do zamieszkania,drewniane,
2200000,139.7,26.0,,5.0,1,2.0,6.95,Warszawa,blok,do zamieszkania,plastikowe,miejskie
798000,68.0,,1100.0,3.0,5,5.0,1.39,Warszawa,blok,,plastikowe,miejskie
1199000,49.0,54.0,1250.0,3.0,1,15.0,0.89,Warszawa,blok,do zamieszkania,plastikowe,miejskie
852530,44.87,18.0,800.0,2.0,2,7.0,1.51,Warszawa,apartamentowiec,do zamieszkania,,miejskie
985000,68.3,16.0,,3.0,2,3.0,15.08,Warszawa,blok,do zamieszkania,,
339000,48.0,61.0,399.0,3.0,1,4.0,50.88,Wyszków,blok,do remontu,plastikowe,miejskie
735000,38.0,57.0,650.0,2.0,6,15.0,0.29,Warszawa,blok,do wykończenia,plastikowe,miejskie
799000,50.0,17.0,,2.0,parter,6.0,5.63,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
499000,47.0,54.0,650.0,3.0,4,4.0,15.17,Pruszków,blok,do zamieszkania,plastikowe,miejskie
1130000,47.5,57.0,,3.0,3,,4.26,Warszawa,blok,do zamieszkania,plastikowe,miejskie
599000,49.2,65.0,600.0,3.0,4,4.0,7.18,Warszawa,blok,do wykończenia,plastikowe,miejskie
999000,43.12,9.0,655.0,2.0,1,7.0,3.99,Warszawa,apartamentowiec,do zamieszkania,,
799000,47.4,25.0,1100.0,2.0,2,7.0,4.19,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
1035000,74.16,1.0,967.0,3.0,1,7.0,8.69,Warszawa,blok,,plastikowe,miejskie
1128000,60.0,17.0,760.0,3.0,2,3.0,6.75,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1279000,69.31,16.0,800.0,3.0,3,3.0,5.13,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
415000,32.6,56.0,400.0,1.0,4,4.0,18.79,Konstancin-Jeziorna,blok,do wykończenia,plastikowe,miejskie
877800,46.2,58.0,566.0,3.0,6,10.0,4.95,Warszawa,blok,do zamieszkania,,miejskie
2995000,144.0,19.0,2370.0,4.0,> 10,23.0,2.98,Warszawa,apartamentowiec,do zamieszkania,,miejskie
849000,42.73,10.0,800.0,2.0,2,3.0,8.39,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
734900,45.96,58.0,900.0,2.0,1,4.0,5.85,Warszawa,blok,do zamieszkania,plastikowe,miejskie
560000,34.0,47.0,600.0,2.0,> 10,11.0,7.24,Warszawa,blok,do zamieszkania,plastikowe,miejskie
669000,41.0,51.0,600.0,2.0,6,10.0,5.85,Warszawa,blok,do zamieszkania,,miejskie
725000,58.0,12.0,650.0,3.0,4,6.0,17.18,Piaseczno,apartamentowiec,do wykończenia,plastikowe,miejskie
620000,42.38,11.0,690.0,2.0,1,2.0,13.92,Pruszków,blok,do zamieszkania,plastikowe,gazowe
855000,54.5,11.0,820.0,3.0,1,7.0,8.06,Warszawa,blok,do zamieszkania,,kotłownia
609000,48.6,56.0,600.0,2.0,1,4.0,7.98,Warszawa,blok,do remontu,plastikowe,miejskie
980000,52.0,72.0,1200.0,3.0,3,7.0,2.62,Warszawa,kamienica,do zamieszkania,,miejskie
1670000,82.7,17.0,800.0,3.0,parter,5.0,4.96,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1190000,60.0,,1500.0,3.0,,10.0,6.86,Warszawa,blok,do zamieszkania,plastikowe,
899000,71.23,22.0,830.0,3.0,parter,1.0,13.54,Pruszków,blok,do zamieszkania,plastikowe,gazowe
1395000,47.5,3.0,,2.0,parter,,5.23,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
699000,56.72,44.0,1100.0,2.0,7,15.0,7.3,Warszawa,blok,do remontu,,miejskie
989000,72.5,6.0,,4.0,3,5.0,5.75,Warszawa,apartamentowiec,,,miejskie
1230000,47.55,106.0,500.0,2.0,1,6.0,0.49,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1270000,70.8,18.0,1000.0,3.0,1,4.0,7.78,Warszawa,apartamentowiec,do zamieszkania,,miejskie
357000,35.8,66.0,500.0,1.0,1,,21.49,Wołomin,blok,,drewniane,miejskie
779000,46.0,53.0,800.0,2.0,10,10.0,6.34,Warszawa,blok,do zamieszkania,plastikowe,miejskie
740000,48.36,51.0,650.0,3.0,parter,10.0,4.09,Warszawa,blok,do remontu,,miejskie
1120000,51.0,15.0,955.0,2.0,3,4.0,3.82,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1150000,77.51,10.0,1100.0,4.0,2,3.0,12.97,Warszawa,blok,do zamieszkania,plastikowe,gazowe
2980000,151.0,19.0,2100.0,4.0,2,2.0,10.0,Warszawa,apartamentowiec,do zamieszkania,,miejskie
799000,46.67,126.0,890.0,2.0,1,4.0,1.06,Warszawa,kamienica,,,miejskie
870000,61.1,46.0,1100.0,3.0,3,9.0,7.26,Warszawa,blok,do zamieszkania,,miejskie
879000,42.0,54.0,700.0,2.0,8,,1.14,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1345000,71.5,13.0,1000.0,3.0,2,4.0,9.43,Warszawa,apartamentowiec,do zamieszkania,plastikowe,
2199000,91.5,11.0,1100.0,3.0,2,6.0,3.75,Warszawa,apartamentowiec,,,
585000,27.71,8.0,720.0,1.0,1,4.0,7.41,Warszawa,blok,do zamieszkania,,kotłownia
710000,59.79,14.0,866.0,3.0,1,2.0,10.31,Ząbki,blok,do zamieszkania,plastikowe,kotłownia
529000,26.49,11.0,470.0,1.0,4,4.0,7.71,Warszawa,blok,do zamieszkania,plastikowe,miejskie
950000,46.8,28.0,700.0,2.0,1,4.0,5.34,Warszawa,blok,do zamieszkania,drewniane,miejskie
419000,22.82,88.0,400.0,2.0,1,1.0,7.36,Warszawa,kamienica,do remontu,,gazowe
760000,46.3,58.0,750.0,3.0,2,17.0,4.57,Warszawa,blok,do zamieszkania,plastikowe,miejskie
750000,54.0,55.0,945.0,3.0,9,10.0,4.07,Warszawa,blok,do remontu,plastikowe,miejskie
990000,60.0,21.0,780.0,2.0,8,13.0,7.34,Warszawa,apartamentowiec,do zamieszkania,,miejskie
855000,45.03,10.0,924.0,2.0,2,9.0,7.08,Warszawa,blok,do zamieszkania,plastikowe,miejskie
825000,38.5,66.0,,2.0,6,6.0,3.07,Warszawa,blok,do zamieszkania,,miejskie
780000,48.0,50.0,800.0,3.0,10,10.0,4.57,Warszawa,blok,,,miejskie
640000,44.0,46.0,,2.0,6,15.0,6.06,Warszawa,blok,do zamieszkania,plastikowe,miejskie
469000,20.67,71.0,572.0,1.0,5,5.0,3.68,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1700000,98.99,6.0,1600.0,3.0,3,5.0,7.37,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1900000,80.0,94.0,1400.0,3.0,2,2.0,3.28,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
749000,68.5,17.0,,3.0,3,3.0,12.94,Marki,blok,do zamieszkania,,
635000,38.0,51.0,800.0,2.0,1,11.0,4.48,Warszawa,blok,do zamieszkania,plastikowe,miejskie
799000,52.83,8.0,700.0,3.0,2,3.0,10.24,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1100000,52.99,8.0,830.0,3.0,parter,5.0,7.54,Warszawa,blok,do zamieszkania,,miejskie
790000,38.74,17.0,770.0,1.0,10,10.0,5.79,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1069000,51.0,66.0,990.0,2.0,3,4.0,4.28,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
999000,51.0,,,2.0,4,4.0,4.66,Warszawa,blok,,,
625000,33.0,87.0,317.0,1.0,4,4.0,4.66,Warszawa,kamienica,do zamieszkania,,miejskie
940000,42.81,6.0,776.0,2.0,1,7.0,4.95,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1200000,46.2,11.0,890.0,2.0,4,6.0,4.13,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
615000,38.0,56.0,600.0,2.0,9,10.0,4.0,Warszawa,blok,do zamieszkania,plastikowe,
999000,41.13,1.0,750.0,2.0,1,4.0,7.83,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1120000,54.72,9.0,906.0,2.0,5,6.0,4.67,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1050000,49.0,55.0,690.0,3.0,9,11.0,1.81,Warszawa,blok,do zamieszkania,,miejskie
719000,48.2,57.0,750.0,2.0,8,10.0,6.35,Warszawa,blok,do zamieszkania,plastikowe,miejskie
950000,34.83,11.0,574.0,1.0,1,6.0,1.76,Warszawa,apartamentowiec,,drewniane,miejskie
595000,38.0,6.0,450.0,2.0,parter,6.0,5.69,Warszawa,blok,do zamieszkania,plastikowe,miejskie
599000,31.93,10.0,720.0,2.0,5,6.0,12.59,Warszawa,blok,do zamieszkania,plastikowe,miejskie
829000,66.4,4.0,830.0,3.0,2,2.0,15.99,Pruszków,blok,do zamieszkania,,miejskie
745000,62.2,51.0,1100.0,3.0,4,4.0,10.56,Warszawa,blok,do zamieszkania,,miejskie
650000,59.63,47.0,1270.0,3.0,1,4.0,42.1,Grójec,blok,do zamieszkania,plastikowe,miejskie
525000,49.5,26.0,580.0,2.0,parter,3.0,86.44,Siedlce,blok,do zamieszkania,,miejskie
588000,37.9,58.0,798.0,2.0,3,7.0,4.1,Warszawa,blok,do remontu,,miejskie
810000,37.1,23.0,606.0,1.0,3,9.0,1.22,Warszawa,blok,,,miejskie
2600000,99.15,23.0,1050.0,4.0,3,4.0,11.52,Warszawa,blok,do remontu,,miejskie
2570000,128.0,47.0,1900.0,5.0,3,7.0,2.16,Warszawa,blok,do zamieszkania,,miejskie
597000,56.41,,366.0,2.0,parter,2.0,16.82,Jabłonna,apartamentowiec,do zamieszkania,plastikowe,gazowe
550000,31.0,54.0,730.0,1.0,9,10.0,7.48,Warszawa,blok,do zamieszkania,plastikowe,miejskie
799000,51.1,71.0,549.0,3.0,parter,4.0,4.13,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1999991,103.5,88.0,,4.0,2,5.0,1.9,Warszawa,kamienica,do remontu,,miejskie
699900,68.0,9.0,620.0,3.0,5,7.0,89.68,Radom,blok,do zamieszkania,,miejskie
780000,54.88,66.0,838.0,3.0,5,10.0,3.95,Warszawa,blok,do remontu,plastikowe,miejskie
810000,51.0,9.0,600.0,3.0,4,6.0,16.28,Pruszków,apartamentowiec,do zamieszkania,,miejskie
760000,36.0,50.0,1400.0,2.0,5,8.0,1.22,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1016160,70.08,19.0,1200.0,3.0,3,3.0,15.8,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1299000,58.03,64.0,820.0,2.0,2,2.0,3.57,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
769000,62.22,1.0,750.0,3.0,2,2.0,10.79,Warszawa,blok,do wykończenia,plastikowe,kotłownia
1890000,98.0,19.0,1500.0,4.0,1,4.0,6.83,Warszawa,apartamentowiec,,plastikowe,miejskie
679000,50.1,46.0,1028.0,2.0,6,11.0,6.85,Warszawa,blok,do zamieszkania,,miejskie
779000,52.0,17.0,700.0,2.0,2,3.0,18.41,Piaseczno,blok,do zamieszkania,plastikowe,miejskie
1249000,49.41,10.0,750.0,2.0,parter,4.0,9.08,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
915000,76.5,14.0,900.0,4.0,4,10.0,16.9,Piaseczno,blok,do zamieszkania,plastikowe,miejskie
895000,48.42,67.0,950.0,2.0,1,4.0,3.92,Warszawa,kamienica,do zamieszkania,,miejskie
1449000,86.0,7.0,,4.0,2,3.0,11.25,Warszawa,apartamentowiec,do zamieszkania,,inne
890000,57.5,57.0,900.0,2.0,1,4.0,4.23,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1195000,65.74,19.0,1100.0,3.0,1,15.0,5.87,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
699000,63.0,20.0,950.0,3.0,2,3.0,16.73,Piaseczno,blok,do zamieszkania,plastikowe,gazowe
980000,41.0,7.0,,2.0,8,16.0,2.56,Warszawa,blok,do zamieszkania,,miejskie
950000,51.0,8.0,,2.0,3,5.0,6.18,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
920000,53.0,28.0,800.0,2.0,9,11.0,4.82,Warszawa,apartamentowiec,,drewniane,miejskie
1700000,75.52,8.0,1000.0,3.0,4,5.0,4.61,Warszawa,apartamentowiec,do zamieszkania,plastikowe,
649000,36.5,58.0,595.0,1.0,1,10.0,2.64,Warszawa,blok,do wykończenia,,miejskie
450000,37.5,55.0,700.0,2.0,3,4.0,15.37,Warszawa,blok,,,miejskie
920000,50.5,88.0,850.0,2.0,4,4.0,2.93,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
770000,65.0,47.0,950.0,3.0,parter,11.0,7.95,Warszawa,blok,do remontu,,miejskie
699000,63.0,20.0,950.0,4.0,2,3.0,16.73,Piaseczno,blok,do zamieszkania,plastikowe,gazowe
1100000,140.0,36.0,650.0,4.0,3,4.0,15.41,Warszawa,blok,do zamieszkania,plastikowe,gazowe
955000,47.73,5.0,760.0,2.0,3,4.0,8.17,Warszawa,blok,do zamieszkania,plastikowe,miejskie
720000,38.67,61.0,836.0,2.0,8,9.0,1.74,Warszawa,blok,do wykończenia,,
1199000,80.0,6.0,,3.0,1,1.0,17.0,Warszawa,apartamentowiec,do zamieszkania,plastikowe,gazowe
1150000,64.0,14.0,1000.0,2.0,2,4.0,9.6,Warszawa,apartamentowiec,do zamieszkania,,miejskie
899000,70.0,18.0,1000.0,3.0,3,3.0,18.24,Legionowo,blok,do zamieszkania,plastikowe,miejskie
1479000,55.0,126.0,720.0,3.0,2,5.0,0.66,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1840000,103.4,26.0,1.0,4.0,parter,6.0,4.02,Warszawa,blok,do remontu,,
715000,58.4,12.0,730.0,3.0,parter,2.0,22.16,Wolica,blok,do zamieszkania,plastikowe,gazowe
549000,36.0,66.0,641.0,2.0,2,7.0,8.08,Warszawa,blok,do remontu,drewniane,miejskie
960000,100.0,18.0,700.0,3.0,,2.0,13.29,Pruszków,blok,do zamieszkania,plastikowe,miejskie
1100000,54.0,8.0,,3.0,7,17.0,5.63,Warszawa,apartamentowiec,do zamieszkania,,miejskie
389000,44.66,56.0,917.0,2.0,3,3.0,51.06,Wyszków,blok,do zamieszkania,plastikowe,miejskie
680000,46.4,51.0,680.0,3.0,10,10.0,7.88,Warszawa,blok,do zamieszkania,plastikowe,miejskie
935000,48.0,77.0,600.0,2.0,2,3.0,3.33,Warszawa,kamienica,do zamieszkania,,miejskie
720000,70.22,87.0,1200.0,3.0,2,3.0,15.81,Pruszków,kamienica,do remontu,drewniane,miejskie
750000,42.0,6.0,415.0,2.0,parter,6.0,6.32,Warszawa,blok,do zamieszkania,plastikowe,miejskie
730000,45.99,43.0,800.0,2.0,2,10.0,6.13,Warszawa,blok,do zamieszkania,,miejskie
1289000,60.0,16.0,1125.0,3.0,1,4.0,4.04,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
880000,45.6,51.0,982.0,2.0,3,12.0,2.76,Warszawa,blok,do wykończenia,plastikowe,miejskie
795000,55.0,26.0,,2.0,4,4.0,9.42,Warszawa,blok,,,miejskie
1750000,64.48,5.0,,3.0,4,6.0,6.28,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
799000,48.6,58.0,900.0,3.0,9,10.0,8.37,Warszawa,blok,do zamieszkania,plastikowe,miejskie
795000,30.0,15.0,560.0,1.0,4,6.0,3.36,Warszawa,apartamentowiec,do zamieszkania,,miejskie
2485000,89.16,11.0,1300.0,3.0,1,6.0,3.68,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
499000,33.0,56.0,799.0,1.0,1,10.0,6.54,Warszawa,blok,do wykończenia,plastikowe,kotłownia
915000,59.1,40.0,1.0,3.0,6,8.0,6.15,Warszawa,blok,do zamieszkania,plastikowe,miejskie
959000,61.62,47.0,,3.0,5,11.0,7.1,Warszawa,blok,do zamieszkania,plastikowe,miejskie
766000,37.8,1.0,610.0,2.0,7,7.0,8.99,Warszawa,blok,do zamieszkania,plastikowe,miejskie
749999,45.3,50.0,817.0,2.0,9,10.0,7.04,Warszawa,blok,do zamieszkania,plastikowe,miejskie
699000,47.6,48.0,1000.0,2.0,5,12.0,7.16,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1720000,58.24,6.0,1200.0,3.0,parter,2.0,3.71,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
749969,45.5,56.0,770.0,2.0,8,10.0,6.37,Warszawa,blok,do zamieszkania,plastikowe,miejskie
510000,35.0,58.0,550.0,2.0,> 10,17.0,4.65,Warszawa,blok,do remontu,plastikowe,miejskie
579900,34.5,76.0,700.0,1.0,parter,3.0,1.58,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1400000,53.97,,918.0,2.0,1,6.0,1.76,Warszawa,apartamentowiec,do zamieszkania,,miejskie
879000,49.0,4.0,623.0,2.0,parter,5.0,5.67,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1230000,54.0,16.0,1060.0,2.0,4,4.0,8.69,Warszawa,apartamentowiec,do zamieszkania,,miejskie
384700,44.18,96.0,,2.0,1,2.0,26.5,Milanówek,kamienica,do wykończenia,drewniane,kotłownia
770000,51.5,56.0,784.0,2.0,2,12.0,6.04,Warszawa,blok,,plastikowe,miejskie
1200000,46.0,56.0,1038.0,3.0,,10.0,2.33,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1790000,72.0,3.0,850.0,2.0,> 10,27.0,3.53,Warszawa,apartamentowiec,do zamieszkania,,miejskie
750000,46.9,,1000.0,2.0,4,5.0,3.53,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
950000,58.0,48.0,997.0,3.0,5,6.0,8.27,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1299000,114.3,28.0,,5.0,2,2.0,10.11,Warszawa,blok,,plastikowe,miejskie
502700,38.97,56.0,,2.0,parter,1.0,26.5,Milanówek,kamienica,do wykończenia,plastikowe,kotłownia
1399000,73.0,6.0,900.0,3.0,3,7.0,6.3,Warszawa,apartamentowiec,do zamieszkania,,miejskie
949000,58.4,14.0,950.0,3.0,4,4.0,8.74,Warszawa,blok,do zamieszkania,plastikowe,gazowe
790000,42.0,63.0,910.0,2.0,parter,6.0,3.26,Warszawa,blok,do wykończenia,plastikowe,miejskie
699000,37.8,57.0,608.0,2.0,6,10.0,2.21,Warszawa,blok,do zamieszkania,plastikowe,miejskie
999000,50.9,67.0,918.0,2.0,3,3.0,2.41,Warszawa,kamienica,do remontu,plastikowe,miejskie
530000,60.0,,700.0,3.0,1,4.0,86.43,Siedlce,blok,do zamieszkania,plastikowe,miejskie
1190000,51.81,13.0,660.0,2.0,7,8.0,4.65,Warszawa,apartamentowiec,,plastikowe,
430000,25.0,64.0,,1.0,> 10,12.0,3.92,Warszawa,blok,,,miejskie
925000,53.0,18.0,950.0,2.0,5,7.0,4.66,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1090000,47.12,73.0,850.0,2.0,1,7.0,1.6,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1545000,61.84,12.0,800.0,3.0,2,4.0,3.78,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
745000,48.0,55.0,890.0,3.0,4,15.0,1.17,Warszawa,blok,do remontu,,miejskie
966400,64.0,46.0,1600.0,3.0,5,10.0,6.72,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2150000,125.0,90.0,1500.0,5.0,2,2.0,3.35,Warszawa,kamienica,do remontu,plastikowe,miejskie
1100000,52.0,12.0,650.0,2.0,3,6.0,3.41,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1549000,68.5,20.0,,3.0,5,7.0,4.37,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2270000,87.62,11.0,1250.0,4.0,3,6.0,3.68,Warszawa,apartamentowiec,,drewniane,
510000,71.53,36.0,800.0,4.0,3,4.0,91.25,Płock,blok,do remontu,plastikowe,miejskie
2499000,100.0,5.0,1280.0,4.0,2,6.0,4.32,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
350000,30.0,2021.0,600.0,1.0,1,4.0,15.06,Pruszków,blok,do remontu,plastikowe,miejskie
610000,39.0,52.0,800.0,2.0,2,7.0,4.91,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1199000,80.0,6.0,,3.0,1,1.0,18.35,Majdan,apartamentowiec,do zamieszkania,plastikowe,gazowe
892330,49.3,16.0,815.0,2.0,parter,4.0,9.03,Warszawa,blok,,drewniane,miejskie
2400000,98.0,123.0,1470.0,3.0,4,5.0,0.49,Warszawa,kamienica,do remontu,plastikowe,miejskie
1270000,70.8,,,3.0,1,4.0,7.73,Warszawa,blok,do zamieszkania,,miejskie
628000,39.0,8.0,500.0,2.0,parter,,16.18,Pruszków,blok,,plastikowe,
849900,56.97,4.0,900.0,2.0,2,2.0,10.93,Warszawa,blok,do zamieszkania,plastikowe,gazowe
1418950,76.7,25.0,1600.0,3.0,1,6.0,4.67,Warszawa,blok,do zamieszkania,plastikowe,miejskie
699000,56.1,46.0,1000.0,4.0,3,11.0,19.1,Legionowo,blok,do zamieszkania,plastikowe,
2200000,116.8,21.0,1400.0,4.0,1,7.0,4.58,Warszawa,apartamentowiec,do zamieszkania,,miejskie
499000,60.64,9.0,,3.0,1,4.0,107.73,Mława,blok,do zamieszkania,plastikowe,gazowe
1490000,72.72,13.0,1100.0,3.0,1,8.0,8.06,Warszawa,blok,do zamieszkania,drewniane,miejskie
375000,75.0,,730.0,4.0,4,4.0,96.85,Radom,blok,,plastikowe,miejskie
799000,42.67,8.0,700.0,2.0,2,5.0,7.72,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1098000,65.26,48.0,800.0,4.0,2,12.0,7.85,Warszawa,blok,do zamieszkania,plastikowe,miejskie
380000,42.0,36.0,,1.0,parter,4.0,42.41,Żyrardów,blok,do remontu,plastikowe,miejskie
1240000,71.0,7.0,750.0,3.0,3,8.0,7.25,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
690000,33.85,,576.0,2.0,,,5.62,Warszawa,blok,do zamieszkania,plastikowe,miejskie
720000,60.16,,900.0,4.0,2,3.0,23.18,Karczew,blok,do zamieszkania,plastikowe,miejskie
795000,46.0,58.0,920.0,2.0,parter,4.0,2.49,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
895000,35.1,6.0,550.0,2.0,parter,6.0,4.19,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
415000,48.0,,,2.0,2,4.0,41.83,Grójec,blok,do zamieszkania,plastikowe,miejskie
